
master-automation
master-automation,10.140.0.11,worker-node1,5 packets transmitted, 5 received, 0% packet loss, time 804ms,rtt min/avg/max/mdev = 259.500/259.651/259.921/0.147 ms, pipe 2
master-automation,10.128.0.11,worker-node2,5 packets transmitted, 5 received, 0% packet loss, time 802ms,rtt min/avg/max/mdev = 109.633/109.680/109.742/0.039 ms
master-automation,10.158.0.11,worker-node3,5 packets transmitted, 5 received, 0% packet loss, time 801ms,rtt min/avg/max/mdev = 199.685/199.759/199.971/0.107 ms
master-automation,10.152.0.11,worker-node4,5 packets transmitted, 5 received, 0% packet loss, time 803ms,rtt min/avg/max/mdev = 278.443/278.506/278.651/0.073 ms, pipe 2
master-automation,10.156.0.16,master-automation,5 packets transmitted, 5 received, 0% packet loss, time 814ms,rtt min/avg/max/mdev = 0.052/0.062/0.079/0.010 ms

worker-node1
worker-node1,10.156.0.16,master-automation,5 packets transmitted, 5 received, 0% packet loss, time 803ms,rtt min/avg/max/mdev = 259.491/259.558/259.595/0.036 ms, pipe 2
worker-node1,10.128.0.11,worker-node2,5 packets transmitted, 5 received, 0% packet loss, time 803ms,rtt min/avg/max/mdev = 147.809/147.877/147.971/0.053 ms
worker-node1,10.158.0.11,worker-node3,5 packets transmitted, 5 received, 0% packet loss, time 803ms,rtt min/avg/max/mdev = 291.214/291.278/291.318/0.034 ms, pipe 2
worker-node1,10.152.0.11,worker-node4,5 packets transmitted, 5 received, 0% packet loss, time 804ms,rtt min/avg/max/mdev = 130.769/130.846/130.936/0.054 ms
worker-node1,10.140.0.11,worker-node1,5 packets transmitted, 5 received, 0% packet loss, time 812ms,rtt min/avg/max/mdev = 0.020/0.030/0.035/0.005 ms

worker-node2
worker-node2,10.156.0.16,master-automation,5 packets transmitted, 5 received, 0% packet loss, time 803ms,rtt min/avg/max/mdev = 109.237/109.272/109.308/0.027 ms
worker-node2,10.140.0.11,worker-node1,5 packets transmitted, 5 received, 0% packet loss, time 803ms,rtt min/avg/max/mdev = 147.848/147.950/148.184/0.118 ms
worker-node2,10.158.0.11,worker-node3,5 packets transmitted, 5 received, 0% packet loss, time 804ms,rtt min/avg/max/mdev = 148.602/148.647/148.688/0.034 ms
worker-node2,10.152.0.11,worker-node4,5 packets transmitted, 5 received, 0% packet loss, time 801ms,rtt min/avg/max/mdev = 175.360/175.398/175.472/0.043 ms
worker-node2,10.128.0.11,worker-node2,5 packets transmitted, 5 received, 0% packet loss, time 815ms,rtt min/avg/max/mdev = 0.036/0.041/0.050/0.005 ms

worker-node3
worker-node3,10.156.0.16,master-automation,5 packets transmitted, 5 received, 0% packet loss, time 801ms,rtt min/avg/max/mdev = 199.642/199.729/199.834/0.067 ms
worker-node3,10.140.0.11,worker-node1,5 packets transmitted, 5 received, 0% packet loss, time 806ms,rtt min/avg/max/mdev = 291.237/291.263/291.290/0.017 ms, pipe 2
worker-node3,10.128.0.11,worker-node2,5 packets transmitted, 5 received, 0% packet loss, time 802ms,rtt min/avg/max/mdev = 142.212/142.236/142.270/0.018 ms
worker-node3,10.152.0.11,worker-node4,5 packets transmitted, 5 received, 0% packet loss, time 804ms,rtt min/avg/max/mdev = 291.624/291.695/291.771/0.047 ms, pipe 2
worker-node3,10.158.0.11,worker-node3,5 packets transmitted, 5 received, 0% packet loss, time 816ms,rtt min/avg/max/mdev = 0.031/0.046/0.053/0.008 ms

worker-node4
worker-node4,10.156.0.16,master-automation,5 packets transmitted, 5 received, 0% packet loss, time 805ms,rtt min/avg/max/mdev = 278.462/278.489/278.528/0.022 ms, pipe 2
worker-node4,10.140.0.11,worker-node1,5 packets transmitted, 5 received, 0% packet loss, time 803ms,rtt min/avg/max/mdev = 130.792/130.828/130.870/0.026 ms
worker-node4,10.128.0.11,worker-node2,5 packets transmitted, 5 received, 0% packet loss, time 802ms,rtt min/avg/max/mdev = 175.385/175.409/175.439/0.019 ms
worker-node4,10.158.0.11,worker-node3,5 packets transmitted, 5 received, 0% packet loss, time 804ms,rtt min/avg/max/mdev = 291.624/291.670/291.759/0.054 ms, pipe 2
worker-node4,10.152.0.11,worker-node4,5 packets transmitted, 5 received, 0% packet loss, time 815ms,rtt min/avg/max/mdev = 0.030/0.035/0.039/0.003 ms

